genotype,dtf,height_cm,plants_m2,number_of_tillers,days_to_harvest,normalized_difference_vegetation_index,fluorescence,protein_pct
Fm444,113.499999999999,98.49999999999916,52.92693229171758,0.33333333333335535,171.9999999999992,0.6216666666666586,0.5866666666666627,19.55999988946072
Fm446,106.999999999999,112.16666666666583,32.76026562505091,1.1666666666666883,164.83333333333252,0.674999999999992,0.704999999999996,14.291666556127389
Fm458,146.33333333333235,117.16666666666583,57.92693229171756,0.33333333333335435,180.6666666666659,0.684999999999992,0.7033333333333294,
Fm464,110.499999999999,101.33333333333252,52.4269322917176,4.500000000000023,181.4999999999992,0.6066666666666587,0.5166666666666628,20.07007574371249
Fm474,105.999999999999,102.33333333333249,51.42075811624548,2.666666666666689,158.33333333333252,0.499999999999992,0.4983333333333293,21.781666666666702
Fm475,101.33333333333235,101.79425823408391,36.825150434175775,1.1666666666666878,155.4939536590254,0.6788632186014159,0.722149399031164,15.146666584997671
Fm477,113.499999999999,108.49999999999915,12.260265625050927,2.000000000000022,184.66666666666583,0.44666666666665866,0.34833333333332916,
Fm478,113.499999999999,116.83333333333249,30.49181710084244,2.3333333333333557,167.49999999999915,0.669999999999992,0.6016666666666627,
Fm480,114.83333333333235,112.99999999999915,,0.8333333333333548,175.4999999999992,0.489999999999992,0.5333333333333294,20.30737412073967
Fm482,117.999999999999,108.83333333333249,50.3333333333334,1.3333333333333555,169.49999999999915,0.5716666666666588,0.6199999999999959,15.50737412073967
Fm484,106.33333333333232,101.49999999999918,32.15848376750911,1.1666666666666887,166.66666666666583,0.6616666666666586,0.7333333333333292,
Fm489,99.66666666666566,124.66666666666582,21.666666666666742,1.0000000000000213,153.66666666666583,0.579999999999992,0.629999999999996,16.1648742024087
Fm491,105.49999999999899,89.66666666666585,14.426932291717602,1.3333333333333541,162.8333333333325,0.5533333333333254,0.5816666666666626,16.679040869075365
Fm492,106.49999999999898,122.40381981267487,44.76026562505091,1.666666666666688,160.33333333333246,0.6699999999999919,0.6699999999999959,15.137374091869393
Fm496,94.49999999999898,131.16666666666583,21.491817100842432,1.0000000000000213,144.99999999999912,0.6299999999999919,0.674999999999996,14.409999918331005
Fm505,118.33333333333235,99.16666666666583,50.760265625050906,0.8333333333333544,183.99999999999915,0.6799999999999919,0.7083333333333295,16.307575772582776
Fm507,112.16666666666566,54.833333333332554,19.76026562505093,14.833333333333357,167.69714417690386,0.5083333333333253,0.3916666666666627,
Fm510,131.49999999999898,118.49999999999915,28.1584837675091,2.0591387571098923e-14,182.3333333333325,0.6799999999999919,0.6666666666666625,
Fm518,101.16666666666566,100.49999999999916,63.00000000000006,4.333333333333356,153.16666666666583,0.6533333333333253,0.6666666666666627,11.2566666666667
Fm519,113.33333333333232,101.49999999999916,22.158483767509097,3.833333333333356,164.3333333333325,0.6266666666666587,0.629999999999996,18.15999988946072
Fm522,111.83333333333232,103.33333333333249,23.491817100842432,5.16666666666669,178.16666666666583,0.5299999999999921,0.509999999999996,
Fm523,94.83333333333233,131.99999999999915,34.158483767509104,0.5000000000000209,145.1666666666658,0.6333333333333253,0.6933333333333294,15.568333333333369
Fm524,99.49999999999899,103.1666666666658,75.42693229171758,5.000000000000023,153.6666666666658,0.6566666666666587,0.674999999999996,13.470000000000034
Fm537,102.99999999999899,109.6666666666658,95.26026562505089,2.666666666666689,161.9755688307353,0.6033333333333253,0.6399999999999961,17.3516666666667
Fm552,99.49999999999899,91.49999999999915,22.760265625050927,4.333333333333357,160.3333333333325,0.6216666666666587,0.5999999999999961,15.156666556127394
Fm56,138.83333333333235,110.49999999999915,77.1584837675091,6.333333333333359,182.49999999999915,0.6216666666666587,0.6333333333333295,
Fm560,82.66666666666568,65.16666666666585,22.260265625050927,22.833333333333357,128.66666666666583,0.614999999999992,0.7049999999999961,12.339999918331007
Fm566,101.66666666666568,91.33333333333249,89.66666666666673,12.500000000000025,155.49999999999915,0.5833333333333254,0.709999999999996,14.889166584997671
Fm569,82.33333333333235,86.33333333333249,74.49181710084244,21.333333333333364,128.96707511378224,0.6466666666666587,0.6883333333333294,12.18333322279406
Fm585,101.54768978502057,117.17511318174563,8.333333333333414,7.0544635440037995,159.04886233852727,0.6327727199818922,0.7019217517538625,15.175075772582778
Fm589,75.16666666666568,103.33333333333249,32.09359895838426,4.666666666666693,121.21717875978582,0.6599999999999921,0.7733333333333294,9.864999918331003
Fm590,83.83333333333235,74.99999999999916,80.82515043417577,21.833333333333357,131.80890216406866,0.5983333333333254,0.6866666666666627,13.279999889460727
Fm592,83.83333333333235,76.66666666666583,51.825150434175775,27.50000000000003,135.66666666666583,0.6466666666666587,0.709999999999996,13.141666584997669
Fm600,116.66666666666568,95.66666666666583,42.15848376750911,4.3333333333333615,181.99999999999918,0.5383333333333254,0.6016666666666628,
Fm601,125.499999999999,106.83333333333249,41.00000000000007,8.833333333333362,183.83333333333252,0.5416666666666587,0.5283333333333293,
Fm610,104.33333333333235,94.49999999999915,92.49181710084244,10.166666666666693,158.3333333333325,0.5416666666666587,0.5933333333333295,17.141666584997672
Fm611,100.66666666666569,89.99999999999916,105.82515043417578,11.666666666666693,153.66666666666583,0.4833333333333254,0.6116666666666628,15.989999918331005
Fm612,103.33333333333235,92.33333333333252,49.09359895838425,20.1666666666667,155.33333333333246,0.5966666666666589,0.6616666666666627,16.184999889460723
Fm614,117.999999999999,111.49999999999918,45.15848376750911,0.8333333333333621,182.3333333333325,0.5683333333333256,0.5616666666666628,
Fm615,108.499999999999,137.16666666666583,,0.6666666666666954,161.99999999999915,0.6083333333333254,0.6733333333333296,21.354999889460714
Fm616,76.16666666666569,89.83333333333249,40.26026562505092,9.666666666666696,122.6422354974019,0.6583333333333254,0.7883333333333293,12.346666584997669
Fm620,85.66666666666569,92.49999999999916,54.66666666666674,6.833333333333364,131.49999999999915,0.6733333333333256,0.669999999999996,12.51000000000003
Fm621,103.33333333333233,107.66666666666583,,4.666666666666697,157.49999999999915,0.7066666666666589,0.6783333333333295,14.736666666666698
Fm65,116.33333333333238,120.83333333333249,57.09359895838424,3.333333333333363,177.49999999999915,0.5649999999999922,0.5749999999999961,
Fm78,120.7423222280375,101.09031447241236,4.926932291717591,4.750713106407343,184.2171787597859,0.5071242884129046,0.4690383240931395,
Fm79,145.99999999999903,98.83333333333249,19.093598958384266,9.833333333333364,186.39223549740194,0.6383333333333255,0.6233333333333295,
Fm86,141.33333333333235,103.3333333333325,67.82515043417577,6.833333333333364,184.33333333333246,0.6699999999999922,0.5483333333333296,
Fm156,,96.16666666666617,30.09359895838426,1.500000000000168,,0.583333333333325,0.5716666666666637,
Fm161,,64.99999999999936,67.82515043417578,2.5000000000000933,,0.6716666666666586,0.6466666666666636,
Fm168,,91.65381981267477,25.580987578689413,0.9739249501228483,,0.6630044352065994,0.534044452112457,
Fm20,,94.49999999999916,71.3333333333334,0.6666666666667019,,0.6033333333333253,0.6049999999999962,
Fm9,,109.16666666666583,65.1584837675091,1.0000000000000306,,0.6583333333333256,0.5283333333333294,
