year,trait,scope,estimable,genotype,blue,standard_error,status
2023,height_cm,year,TRUE,Fm170,121.66666666666147,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm172,110.66666666666144,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm173,117.99999999999477,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm174,99.33333333332807,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm175,114.99999999999478,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm176,96.66666666666143,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm177,124.99999999999481,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm180,96.33333333332811,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm181,111.33333333332816,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm184,116.6666666666615,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm185,127.66666666666147,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm190,110.33333333332811,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm191,103.33333333332811,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm193,112.3333333333281,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm194,120.66666666666146,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm195,133.66666666666146,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm203,113.66666666666141,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm205,119.33333333332807,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm206,104.99999999999474,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm207,120.99999999999476,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm208,110.33333333332807,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm214,122.99999999999476,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm215,137.33333333332806,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm216,101.9999999999947,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm219,123.66666666666138,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm220,106.33333333332806,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm221,130.9999999999947,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm225,112.33333333332803,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm227,133.99999999999469,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm228,106.333333333328,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm232,116.66666666666136,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm233,109.66666666666134,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm234,106.99999999999469,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm235,134.66666666666137,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm236,119.66666666666136,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm238,139.99999999999469,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm245,115.66666666666131,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm246,109.6666666666613,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm249,120.99999999999466,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm250,134.66666666666134,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm251,108.6666666666613,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm255,121.33333333332797,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm28,117.33333333332794,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm3,118.99999999999463,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm30,113.33333333332793,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm31,111.66666666666129,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm321,120.6666666666613,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm322,103.33333333332796,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm324,141.33333333332794,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm325,130.33333333332794,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm328,130.9999999999946,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm332,110.33333333332791,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm334,119.99999999999457,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm336,126.66666666666126,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm337,112.3333333333279,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm341,117.66666666666126,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm343,139.9999999999946,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm344,110.3333333333279,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm345,126.3333333333279,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm346,93.99999999999454,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm347,135.3333333333279,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm349,120.66666666666123,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm351,132.33333333332791,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm352,144.66666666666123,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm354,126.99999999999453,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm355,123.99999999999451,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm356,121.66666666666117,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm357,125.66666666666117,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm358,127.66666666666116,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm359,135.33333333332783,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm36,136.99999999999446,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm361,134.66666666666114,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm362,133.9999999999945,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm363,129.3333333333278,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm364,113.6666666666611,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm365,133.3333333333278,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm366,125.66666666666111,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm368,137.99999999999443,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm369,112.99999999999442,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm370,130.33333333332777,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm372,134.99999999999443,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm375,129.9999999999944,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm376,132.33333333332777,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm377,138.33333333332774,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm378,145.33333333332774,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm379,128.3333333333277,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm380,128.99999999999437,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm381,143.33333333332772,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm382,131.99999999999434,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm383,144.66666666666103,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm384,104.66666666666099,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm387,121.66666666666099,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm388,139.3333333333277,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm389,104.99999999999434,4.22377529910614,Estimable
2023,height_cm,year,TRUE,Fm39,103.33333333332767,4.223775299106139,Estimable
2023,height_cm,year,TRUE,Fm390,114.66666666666103,4.223775299106139,Estimable
2023,height_cm,year,TRUE,Fm391,139.99999999999434,4.223775299106139,Estimable
2023,height_cm,year,TRUE,Fm392,115.666666666661,4.223775299106139,Estimable
2023,height_cm,year,TRUE,Fm394,127.33333333332769,4.223775299106139,Estimable
2023,height_cm,year,TRUE,Fm395,130.99999999999434,4.22377529910614,Estimable
