genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm482,108.33333333333488,146.33333333332766,80.00000000000892,1.8450123712673696,13.265347162882346,4.097714222249155,,
Fm484,99.33333333333486,108.99999999999432,42.00000000000896,2.8997163157903056,13.86881097157782,4.587338445714542,,
Fm489,94.33333333333488,138.666666666661,64.00000000000892,2.500699233319521,13.085368156432963,2.425977334672713,,
Fm491,109.66666666666822,113.99999999999436,48.000000000008946,2.9269416782501025,,3.8167802045689103,,
Fm492,118.00000000000155,144.99999999999434,80.00000000000891,,13.6337467829385,3.868709775885482,,
Fm496,93.66666666666822,131.99999999999432,52.000000000008946,,,,,
Fm505,136.66666666666822,106.66666666666099,64.00000000000892,,,,,
Fm507,107.33333333333489,96.33333333332769,32.00000000000894,,,,,
Fm510,138.33333333333488,120.666666666661,52.00000000000892,1.389027927012997,,,,
Fm518,105.00000000000155,125.666666666661,52.00000000000891,2.153094487959542,11.523692131042338,3.023637109317325,,
Fm519,104.00000000000155,113.33333333332767,72.00000000000888,2.217707336239247,13.304966290791691,3.127721331719793,,
Fm522,118.00000000000153,137.33333333332763,80.0000000000089,1.4445615451600942,,,,
Fm523,91.33333333333486,137.9999999999943,96.0000000000089,2.680877258901415,15.259088834126654,3.083624660245448,,
Fm524,101.00000000000155,127.9999999999943,68.00000000000892,2.847895905925886,15.380965232848988,3.859759984169459,,
Fm537,104.33333333333489,132.66666666666097,80.00000000000894,1.7099894834585136,16.341658274332545,4.083628795890944,,
Fm54,159.6666666666682,108.33333333332764,64.00000000000894,,,,8.499999999999952,1.4999999999998883
Fm55,139.66666666666822,137.33333333332763,92.00000000000892,,,,11.999999999999956,2.6666666666665555
Fm552,107.66666666666822,109.66666666666097,76.00000000000895,,,,,
Fm559,143.33333333333488,127.33333333332766,68.00000000000898,,,,,
